url_path,views_total,views_unique
/venkateshkallu/MERN-Stack,9,2
/venkateshkallu/MERN-Stack/actions/runs/16411312018,3,1
/venkateshkallu/MERN-Stack/actions/workflows/docker-deploy.yml,2,1
/venkateshkallu/Idurur-dockerized,1,1
/venkateshkallu/MERN-Stack/actions,1,1
/venkateshkallu/MERN-Stack/actions/runs/16411312018/job/46401603021,1,1
/venkateshkallu/MERN-Stack/actions/runs/16411312018/job/46401811632,1,1
/venkateshkallu/MERN-Stack/actions/runs/16421725308,1,1
/venkateshkallu/MERN-Stack/actions/runs/16421796993,1,1
/venkateshkallu/MERN-Stack/actions/runs/16421796993/job/46402101987,1,1
